Level,Date and Time,Source,Event ID,Task Category,Log Message
Information,4/4/2025 8:48:04 AM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 1 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (LPI) States (3 state(s))

Performance state type: ACPI Collaborative Processor Performance Control
Nominal Frequency (MHz): 3301
Maximum performance percentage: 141
Minimum performance percentage: 33
Minimum throttle percentage: 12"
Information,4/4/2025 8:48:04 AM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 0 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (LPI) States (3 state(s))

Performance state type: ACPI Collaborative Processor Performance Control
Nominal Frequency (MHz): 3301
Maximum performance percentage: 141
Minimum performance percentage: 33
Minimum throttle percentage: 12"
Information,4/4/2025 8:48:03 AM,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is -330.
Information,4/4/2025 8:48:03 AM,Microsoft-Windows-Ntfs,98,,Volume \\?\Volume{aa2a2c28-29fd-4ef9-8175-2f0fb5818106} (\Device\HarddiskVolume4) is healthy.  No action is needed.
Information,4/4/2025 8:48:01 AM,VMnetAdapter,36,,() Starting up the Adapter Driver for VMware Virtual Networks.
Information,4/4/2025 8:48:01 AM,Microsoft-Windows-Kernel-Power,125,(86),"ACPI thermal zone \_TZ.THRM has been enumerated.             
_PSV = 374K             
_TC1 = 2             
_TC2 = 10             
_TSP = 10000ms             
_AC0 = 0K             
_AC1 = 0K             
_AC2 = 0K             
_AC3 = 0K             
_AC4 = 0K             
_AC5 = 0K             
_AC6 = 0K             
_AC7 = 0K             
_AC8 = 0K             
_AC9 = 0K             
_CRT = 376K             
_HOT = 0K             
minimum throttle = 0             
_CR3 = 0K"
Information,4/4/2025 8:48:01 AM,Microsoft-Windows-FilterManager,6,,"File System Filter 'npsvctrig' (10.0, ‎1978‎-‎05‎-‎14T14:43:30.000000000Z) has successfully loaded and registered with Filter Manager."
Information,4/4/2025 8:48:01 AM,VfpExt,7036,,The  service entered the Driver load complete state.
Information,4/4/2025 8:48:01 AM,VfpExt,7036,,The  service entered the Driver load start state.
Information,4/4/2025 8:48:01 AM,Microsoft-Windows-FilterManager,6,,"File System Filter 'UCPD' (10.0, ‎2047‎-‎04‎-‎22T09:10:20.000000000Z) has successfully loaded and registered with Filter Manager."
Information,4/4/2025 8:48:01 AM,Microsoft-Windows-FilterManager,6,,"File System Filter 'FileCrypt' (10.0, ‎2075‎-‎09‎-‎01T03:37:07.000000000Z) has successfully loaded and registered with Filter Manager."
Information,4/4/2025 8:48:01 AM,Microsoft-Windows-Ntfs,98,,Volume C: (\Device\HarddiskVolume3) is healthy.  No action is needed.
